User Id,Datetime,Amount
190,2022-10-01 00:03,5872
159,2022-10-01 00:16,9540
164,2022-10-01 00:24,815
946,2022-10-01 00:29,23000
763,2022-10-01 00:40,9473
47,2022-10-01 01:01,3637
302,2022-10-01 01:11,2000
461,2022-10-01 01:17,9800
12,2022-10-01 01:27,1800
530,2022-10-01 01:32,16000
471,2022-10-01 02:00,25000
968,2022-10-01 02:03,2000
157,2022-10-01 02:45,27777
47,2022-10-01 02:52,1873
313,2022-10-01 03:27,6000
852,2022-10-01 03:29,10850
804,2022-10-01 03:32,1719
417,2022-10-01 03:33,2750
480,2022-10-01 03:45,3887
164,2022-10-01 03:50,5200
946,2022-10-01 03:57,35000
633,2022-10-01 04:05,10000
689,2022-10-01 04:05,200
234,2022-10-01 04:25,3802
941,2022-10-01 04:36,60000
390,2022-10-01 04:38,5000
637,2022-10-01 05:25,1000
506,2022-10-01 05:48,6000
667,2022-10-01 05:51,5289
422,2022-10-01 06:05,22000
27,2022-10-01 06:44,6000
677,2022-10-01 06:52,10000
16,2022-10-01 06:52,9999
941,2022-10-01 06:54,175000
238,2022-10-01 07:29,51000
272,2022-10-01 07:34,16705
625,2022-10-01 07:52,21700
541,2022-10-01 08:01,3700
946,2022-10-01 08:26,39000
421,2022-10-01 08:30,7000
253,2022-10-01 08:42,56069
598,2022-10-01 08:57,12000
407,2022-10-01 09:03,9000
276,2022-10-01 09:05,12925
421,2022-10-01 09:50,12200
880,2022-10-01 09:54,240000
440,2022-10-01 10:03,3300
262,2022-10-01 10:09,500
464,2022-10-01 10:11,48600
335,2022-10-01 10:15,20000
940,2022-10-01 10:17,50000
774,2022-10-01 10:36,50000
599,2022-10-01 10:40,13144
261,2022-10-01 10:54,500
9,2022-10-01 11:08,49900
99,2022-10-01 11:36,61791
299,2022-10-01 11:39,10000
97,2022-10-01 11:42,12000
187,2022-10-01 12:05,2000
99,2022-10-01 12:08,23198
421,2022-10-01 12:13,7800
471,2022-10-01 12:33,17015
885,2022-10-01 12:40,15000
296,2022-10-01 12:40,13156
502,2022-10-01 12:41,500
11,2022-10-01 13:12,2500
412,2022-10-01 13:27,1700
962,2022-10-01 13:31,5100
474,2022-10-01 13:46,24000
888,2022-10-01 13:58,5000
31,2022-10-01 14:13,2000
852,2022-10-01 14:16,6500
987,2022-10-01 14:18,4400
666,2022-10-01 14:28,4000
663,2022-10-01 14:39,10474
852,2022-10-01 14:57,9250
888,2022-10-01 15:02,199
74,2022-10-01 15:14,2080
114,2022-10-01 15:21,7500
989,2022-10-01 15:35,75000
634,2022-10-01 15:53,258533
795,2022-10-01 16:22,5500
292,2022-10-01 17:07,8900
514,2022-10-01 17:12,7000
929,2022-10-01 17:17,9636
2,2022-10-01 18:03,55000
471,2022-10-01 18:05,250
246,2022-10-01 18:14,5000
380,2022-10-01 18:15,7000
972,2022-10-01 18:17,3500
296,2022-10-01 18:18,7000
508,2022-10-01 18:21,20000
634,2022-10-01 18:25,295671
540,2022-10-01 18:33,75000
681,2022-10-01 18:40,132000
565,2022-10-01 18:44,200
292,2022-10-01 18:45,12049
845,2022-10-01 18:46,22700
850,2022-10-01 19:05,33451
733,2022-10-01 19:08,125
16,2022-10-01 19:34,8222
775,2022-10-01 19:38,5000
483,2022-10-01 20:04,8050
142,2022-10-01 20:14,43400
509,2022-10-01 20:34,173
933,2022-10-01 20:43,5500
987,2022-10-01 21:01,1750
890,2022-10-01 21:06,50000
155,2022-10-01 21:32,5500
31,2022-10-01 21:43,6000
518,2022-10-01 21:46,1650
422,2022-10-01 21:53,25000
827,2022-10-01 22:01,25000
660,2022-10-01 22:16,500
565,2022-10-01 22:27,2492
667,2022-10-01 22:29,4015
944,2022-10-01 22:32,1000
433,2022-10-01 22:38,100000
989,2022-10-01 22:48,130000
627,2022-10-01 23:16,9671
934,2022-10-01 23:30,2000
474,2022-10-01 23:41,6000
222,2022-10-02 00:23,60632
351,2022-10-02 00:30,5479
99,2022-10-02 00:36,43478
920,2022-10-02 00:46,13000
637,2022-10-02 00:51,3800
856,2022-10-02 01:22,15000
